bug: ap_escape_html2 in http2env, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_cookie_read, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_update_vhost_from_headers, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in basic_http_header, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in op_url_subr, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in fix_hostname, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_xml_parse_input, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_core_translate, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_process_request_internal, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_fcgi_encode_env, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_setup_client_block, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_pass_brigade_fchk, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_note_auth_failure, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_get_mime_headers_core, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_content_length_filter, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in table_do_fn_check_lengths, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_note_basic_auth_failure, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in log_backtrace, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in core_override_type, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_if_walk_sub, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_response_code_string, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in decl_die, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_invoke_handler, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_is_recursion_limit_exceeded, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in op_file_subr, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_get_basic_auth_pw, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_note_digest_auth_failure, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_scan_script_header_err_core_ex, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in ap_process_async_request, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in unescape_func, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_escape_html2 in check_headers_table, pair: (ap_escape_html2, apr_pstrcat), support: 17, confidence: 425.00%
bug: ap_mpm_query in ap_reclaim_child_processes, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in core_optional_fn_retrieve, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in ap_set_keepalive, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in ap_init_scoreboard, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in show_compile_settings, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in log_tid, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in main, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in ap_process_http_connection, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in ap_relieve_child_processes, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in ap_find_child_by_pid, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in core_child_init, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in ap_create_scoreboard, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in http_post_config, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in ap_http_header_filter, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in ap_get_sload, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in piped_log_maintenance, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in event_run, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: ap_mpm_query in ap_calc_scoreboard_size, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 81.25%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
bug: apr_cpystrn in ap_regerror, pair: (ap_mpm_query, apr_cpystrn), support: 13, confidence: 86.67%
